Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in Germany on August 20, 2024",Christoph P.,yes,-,"Deckel undicht, ssieht schön aus ist aber totaler Mist ohne auslaufsicheren Deckel","Ich hätte dieses Produkt nicht gekauft wenn ich gewusst hätte, dass der Deckel nicht auslaufsicher ist. Nachdem ich den Deckel 2/3 Mal in der Spülmaschine gereinigt hatte, war er nicht nur ein bisschen undicht sondern richtig. Dieses Geld war nicht gut investiert.",1,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United Kingdom on July 6, 2024",Katie,yes,-,Not watertight,Really disappointed - was looking forward to receiving but top did not screw on airtight so water leaked. Had to return straight away.,1,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Germany on May 14, 2024",Felix,yes,-,Teuer und schlechte Qualität,"Ich habe diesen Stanley Becher bei PJT bestellt, da PJT zum Bestellzeitpunkt der einzige Lieferant war, der liefern konnte. Daher habe ich auch den überteuerten Preis in Kauf genommen.  Aufgrund von Lieferproblemen kam der Becher dann über zwei Wochen verspätet. Der Becher wurde lose in einem zu großen Karton  (nicht Stanley Originalverpackung) geliefert, wodurch er während des Transports beschädigt wurde.Insgesamt ernüchternd.",1,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Canada on October 24, 2023",Bclilgino ,yes,-,Poor Quality,"Handle fell off..,very poor quality",1,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Mexico on August 8, 2023",Carmina ramon,yes,-,Llegó incompleto,Le falta la tapa. Solo llegó el baso y el pipote. Pagué mucho dinero por el. No es justo,1,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on May 4, 2024",saysay,yes,-,Handle broke!,in under three months handle came off!,2,-,-,https://www.amazon.com/gp/customer-reviews/R2XWN7DGXZ3J8M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on January 11, 2024",Angela Storck,yes,-,Why does a 40 oz tumbler only hold 32 ounces of liquid?,"I ordered the 40 oz tumbler but noted if you don't put any ice in it and just fill it up to the cap line with water, you can only put 32 oz of liquid in it. Was this false advertising or did they send me the wrong size tumbler? It also doesn't keep things cold as long as it says it does. I don't see what all the hype is about.",2,-,-,https://www.amazon.com/gp/customer-reviews/R3HOEVELL5DPLY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on August 27, 2023",Liz may,yes,-,Thought this was real!!!,"Unfortunately this product next to my Stanley bought from the actual store was very disappointing as the price was very similar,, the straw alone makes this product look like a fake straight away. It is clear and too long and skinny,, the handle is also not flush against the cup like the real Stanley cup is,, it came in a plain cardboard box not the Stanley box like the original ones do,, my fault tho as going by the price I assumed they were real,,, the actual cup works fine.. holds ice for same amount of time as the original",2,-,-,https://www.amazon.com/gp/customer-reviews/R35G8U4Y6RYG6U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on August 24, 2023",Christina P,yes,-,Over priced,Product came with original tag on it marked $20 less than what was paid. Then item is listed after purchase for $15 leas than what we paid.,2,-,-,https://www.amazon.com/gp/customer-reviews/R8OVTMX3V14C2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on March 14, 2023",Lauraly,yes,-,Prefer Stanley Ice Flow,"Liked the idea of the handle, but the Stanley Iceflow has been much nicer to use. The Quencher is bulky and cumbersome.",2,-,-,https://www.amazon.com/gp/customer-reviews/R1ND98A475S6A2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on February 4, 2023",aliya batheja ,yes,-,dented,it took really long to come and it literally came with a pretty big dent. very disappointed and very expensive.,2,-,-,https://www.amazon.com/gp/customer-reviews/RVJPBHPCG3LLJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on January 29, 2023",AHS,yes,-,Logo was not color pictured,All the cream cups are pictured with a rose gold colored logo. The one I received had a grey logo. Very disappointed.,2,-,-,https://www.amazon.com/gp/customer-reviews/R2DPNIYTY50LRT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on January 17, 2023",elizabeth,yes,-,came with a dent in the cup,I am very upset. i spent over $70 for this cup and it came with a dent. I was so excited for this tumbler too,2,-,-,https://www.amazon.com/gp/customer-reviews/R30F06DNWQS1TK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on June 28, 2024",chiguire,yes,-,Its leaks no matter what you do to it.  Is this an original product?,"If it is full or you bend slightly to drink, no matter how to close the lid, it will leak.",3,-,-,https://www.amazon.com/gp/customer-reviews/R2E9TQM38LW4SY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on April 17, 2024",Ariany souza,yes,-,Keeps cold water well,I bought if for my daughter to take school and she loved it .the water is always cold,3,-,-,https://www.amazon.com/gp/customer-reviews/R1HWXTN1KDS3K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on April 22, 2023",Jennifer Swanstrom,yes,-,Uneven bottom,"I ordered the cream colored one and it’s a good water bottle and keeps water cold all day long, however, I think mine got damaged in shipping and it tips sometimes because the bottle isn’t even at the bottom and the lid does leak if you tilt it at a certain angle. But it works for protein shakes and water use.",3,-,-,https://www.amazon.com/gp/customer-reviews/R2U9WTJ5BEZHUY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on January 31, 2023",Julia,yes,-,Came Dented,"I saw all of the hype and was very excited to try out this water bottle, but it came slightly dented at the bottom. It's not too noticeable but when I paid this much for a water bottle, I would've thought it would come in great shape. Besides the dent, the water bottle is great! It keeps ice for 12+ hours and is super cute and easy to hold. I love that it fits in my car cupholders!",3,-,-,https://www.amazon.com/gp/customer-reviews/R3GEQVWHE8I0Z1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United Kingdom on September 4, 2024",George,yes,-,Mediocre,"So I first got a fake Stanley for Christmas and really liked it so I thought,”Since the fake one was so good I’ll buy I real one too”. So I bought this one and to be honest I prefer that fake one. First of all it was more than half the price, it kept cold water colder for longer and felt nicer to hold. The only thing that’s better about the real one is its look, with the logo. Not worth buying the real one, but the fake £20 one of Amazon instead way better.",3,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Germany on August 27, 2024",Tanja H.,yes,-,nicht dicht,"Ich habe den Becher für den Urlaub gekauft. Das gekühlte Wasser hält sich ca. 4 Stunden. Könnte für meine Begriffe länger sein. Allerdings bedaure ich, dass der Becher auch bei Nutzung der vollständigen Abdeckung nicht dicht ist. Man kann ihn also nicht einfach in eine Tasche legen. Aber ja, er sieht natürlich stylisch aus, und die Verarbeitung macht auch einen sehr guten Eindruck. Ich würde ihn vermutlich für den Preis nicht noch mal kaufen.",3,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United Kingdom on February 28, 2024",Sarah S,yes,-,Stanley cup,"I wanted one fast so was limited with choices and expected to pay more, understood. However the cup came with marks to the lid and was missing the usual leaflet inside, the straw was also in a wrapper, which is unusual. Only leads me to believe it was a display item. Which is fine but it was nearly double the price, so a bit disappointing.",3,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Mexico on November 3, 2023",Nunca me llegó ,yes,-,Me llegó golpeado,Me llegó golpeado,3,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on March 14, 2024",WILSON MEDINA,yes,-,excelente producto,"muy bueno, el material excelente",4,-,-,https://www.amazon.com/gp/customer-reviews/R9NTXDE6290S2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on April 26, 2023",Brayden King,yes,-,"Holds ALOT of water, Strong/Durable","I recently got my hands on the Stanley Cup and I have to say, I'm thoroughly impressed with its quality and durability. This cup is built to last and can withstand just about anything you throw its way.What I love most about the Stanley Cup is its size. It can hold a lot of water, making it perfect for long hikes or camping trips where you need to stay hydrated. And despite its large capacity, it's still lightweight and easy to carry around.",4,-,-,https://www.amazon.com/gp/customer-reviews/R29VOUB64FATXH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on April 18, 2023",DVG,yes,-,Great gift for my girlfriend,"I personally wouldn't spend this much for a tumbler for myself, but my girlfriend absolutely loved it!",4,-,-,https://www.amazon.com/gp/customer-reviews/R2KPN4SZDFD75X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in the United States on April 3, 2023",Kyleigh Glass,yes,-,use everyday,i love my stanley and use it everyday i just wish it was easier to hold and didn’t leak so bad,4,-,-,https://www.amazon.com/gp/customer-reviews/RKRZQMO1GPM60/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BD76BTSN,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Germany on June 20, 2024",Stephan Schneider,yes,-,Sehr Guter Becher,"Der Becher ist echt richtig gut, aber für über 70 Euro ist es sehr sehr schade das man sich einen auslaufschutz für ca 9 Euro Kaufen muss ist richtig ärgerlich!!!!! Top to Go Becher",4,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
"Reviewed in Saudi Arabia on March 24, 2024",Sara,yes,-,Its good,I love it so much it rarely spills but it doesnt jeep ice cold or water cold and it scratches eaily,4,-,-,-,B0BD76BTSN,Color: Cream 2.0 | Size: 1 Count (Pack of 1)
Starter Plan or higher is required in order to access reviews beyond 100.,,,,,,,,,,,
