Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on September 2, 2024",JecaJeca,yes,-,Damaged product,Its full of scratches and a dent at the bottom.,1,"https://m.media-amazon.com/images/I/612PQAPLl2L.jpg , https://m.media-amazon.com/images/I/6148-JnDNgL.jpg",-,https://www.amazon.com/gp/customer-reviews/REDEOXE0IUTJZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YBWMH,Size: 64 oz | Color: Rose Quartz 2.0
"Reviewed in the United States on August 8, 2024",Michael InmanMichael Inman,yes,-,Stanley 64 ounce,For the amount of money that this product costs you would think that packaging would be better. Straw came damaged. I’d recommend buying in store.,2,"https://m.media-amazon.com/images/I/810jgA2GcGL.jpg , https://m.media-amazon.com/images/I/81ZuVBbGdCL.jpg",-,https://www.amazon.com/gp/customer-reviews/R20YOW0GJ811M5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CRMP3RQT,B0CP9YBWMH,Size: 64 oz | Color: Rose Quartz 2.0
Starter Plan or higher is required in order to access reviews beyond 100.,,,,,,,,,,,
